sample_id,param_hash,stream,intended_relaxed_rules,relaxed_violations,pitch_mm,analytic_raw,analytic_norm,boolean_raw,boolean_norm,abs_error_raw,rel_error_nonzero,analytic_wall_time_s,boolean_wall_time_s,analytic_points,boolean_status,boolean_nonzero,analytic_nonzero
analytic_calib_0000,cb0896cbff1b94ab,clean_valid,,,1.0,0.0,0.0,0.0,0.0,0.0,,0.00655191601254046,29.652751583023928,84660,,False,False
analytic_calib_0000,cb0896cbff1b94ab,clean_valid,,,0.75,0.0,0.0,0.0,0.0,0.0,,0.014074417005758733,29.652751583023928,197224,,False,False
analytic_calib_0000,cb0896cbff1b94ab,clean_valid,,,0.5,0.0,0.0,0.0,0.0,0.0,,0.047284584026783705,29.652751583023928,675384,,False,False
analytic_calib_0000,cb0896cbff1b94ab,clean_valid,,,0.25,0.0,0.0,0.0,0.0,0.0,,0.36724033299833536,29.652751583023928,5312088,,False,False
analytic_calib_0001,05b40bec1ee6d989,near_boundary,D6,A2,1.0,55.116776332799994,0.000679901144460046,34.13576511128506,0.0004288564239610318,20.981011221514933,0.6146342744366596,0.001512582995928824,5.092698749969713,21384,,True,True
analytic_calib_0001,05b40bec1ee6d989,near_boundary,D6,A2,0.75,32.4795289104,0.0004006560315568129,34.13576511128506,0.0004288564239610318,1.6562362008850613,0.04851908827839691,0.003759209008421749,5.092698749969713,46781,,True,True
analytic_calib_0001,05b40bec1ee6d989,near_boundary,D6,A2,0.5,22.68918333682629,0.00027988577605529783,34.13576511128506,0.0004288564239610318,11.446581774458771,0.3353251856855145,0.01078599999891594,5.092698749969713,160596,,True,True
analytic_calib_0001,05b40bec1ee6d989,near_boundary,D6,A2,0.25,28.321250122563317,0.0003493609686931378,34.13576511128506,0.0004288564239610318,5.8145149887217435,0.170334983550713,0.08416533301351592,5.092698749969713,1245447,,True,True
analytic_calib_0002,062500eb6bf4dbe2,single_relaxation,D6,A2|D5|D6,1.0,244.87766403255938,0.00572465654600029,221.55548350834576,0.00531472947449951,23.32218052421362,0.10526564341764576,0.0011370420106686652,3.7169843330048025,13429,,True,True
analytic_calib_0002,062500eb6bf4dbe2,single_relaxation,D6,A2|D5|D6,0.75,246.1079925972887,0.0057534186975000375,221.55548350834576,0.00531472947449951,24.55250908894294,0.1108187831786076,0.001970792014617473,3.7169843330048025,30889,,True,True
analytic_calib_0002,062500eb6bf4dbe2,single_relaxation,D6,A2|D5|D6,0.5,203.46852368970121,0.004756609471292534,221.55548350834576,0.00531472947449951,18.086959818644544,0.08163625441463392,0.0064443330047652125,3.7169843330048025,103872,,True,True
analytic_calib_0002,062500eb6bf4dbe2,single_relaxation,D6,A2|D5|D6,0.25,220.99662004123272,0.005166374616325839,221.55548350834576,0.00531472947449951,0.5588634671130421,0.0025224537811630843,0.05129595898324624,3.7169843330048025,796667,,True,True
analytic_calib_0003,8b63dfbd49499bc5,single_relaxation,A2,A2,1.0,7.737588209005716,0.00013807093751427637,7.994837757027231,0.00014350611997247873,0.25724954802151423,0.03217695666124048,0.0007013749564066529,1.7390789999626577,6160,,True,True
analytic_calib_0003,8b63dfbd49499bc5,single_relaxation,A2,A2,0.75,11.144674375111114,0.00019886760547323755,7.994837757027231,0.00014350611997247873,3.1498366180838833,0.39398380727804866,0.0008801249787211418,1.7390789999626577,13446,,True,True
analytic_calib_0003,8b63dfbd49499bc5,single_relaxation,A2,A2,0.5,9.430109086632479,0.0001682725892465856,7.994837757027231,0.00014350611997247873,1.4352713296052482,0.17952476000450243,0.002808708988595754,1.7390789999626577,42110,,True,True
analytic_calib_0003,8b63dfbd49499bc5,single_relaxation,A2,A2,0.25,8.349606653538464,0.00014899190644285213,7.994837757027231,0.00014350611997247873,0.3547688965112332,0.04437474621663231,0.025002125010360032,1.7390789999626577,334080,,True,True
analytic_calib_0004,e7325cc33e6af804,single_relaxation,A1,A1,1.0,279.57094409084556,0.006463697076342576,275.13087576933435,0.0064510436837247245,4.440068321511205,0.016138022710448872,0.0020727079827338457,8.605634125007782,29772,,True,True
analytic_calib_0004,e7325cc33e6af804,single_relaxation,A1,A1,0.75,262.6910770293333,0.006073433532577834,275.13087576933435,0.0064510436837247245,12.439798740001038,0.04521411384751445,0.004833207989577204,8.605634125007782,68816,,True,True
