architecture,hidden,param_count,budget,label_source,train_overlap_mean,train_overlap_median,train_overlap_positive_rate,n,mae_norm,rmse_norm,median_ae_norm,mae_log,rmse_log,pearson_norm,spearman_norm,near_threshold_mae_norm,n_bin_clean_or_below_threshold,mae_bin_clean_or_below_threshold,n_bin_tiny,mae_bin_tiny,n_bin_small,mae_bin_small,n_bin_moderate,mae_bin_moderate,n_bin_large,mae_bin_large,mae_dominant_bracket__main_pin,n_dominant_bracket__main_pin,mae_dominant_clean,n_dominant_clean,mae_dominant_main_pin__splint,n_dominant_main_pin__splint,mae_dominant_bracket__splint,n_dominant_bracket__splint
a_64_32,64-32,3009,15000,random,0.0027238866314291954,0.00010704831220209599,0.5136666666666667,5000,0.0020940675616955774,0.015408490759757235,0.0001272163717658259,0.6007152411317196,0.8747196039897465,0.6370599782041964,0.8114458580258341,0.00013607025041459977,2413,4.538790166748421e-05,180,0.00011149305796871702,605,0.0003314584059879049,935,0.0013640363553904195,867,0.010224730938185874,0.0037674761367694977,600,4.538790166748421e-05,2413,0.004764493653367099,1637,0.0008595857403731649,350
b_128_64,128-64,10113,15000,random,0.0027238866314291954,0.00010704831220209599,0.5136666666666667,5000,0.0016571569809670358,0.008694800441573834,0.00011472639016574249,0.5707722588957765,0.8367304525972575,0.7506445442463966,0.819864277882571,0.00012954536163674625,2413,4.0240048388793726e-05,180,0.00010477798421177908,605,0.00033412317067961045,935,0.0013343025670061728,867,0.007750989864478621,0.0034686515070946676,600,4.0240048388793726e-05,2413,0.003545931845833135,1637,0.0008651552348210804,350
c_128_64_32,128-64-32,12161,15000,random,0.0027238866314291954,0.00010704831220209599,0.5136666666666667,5000,0.0008788784056080875,0.0031439308165608433,9.145875992544461e-05,0.4551446722640625,0.7725453655665526,0.8944660912561432,0.8237633153505325,0.00012494042980803718,2413,3.105410686090417e-05,180,0.0001321934829885802,605,0.0003319488338420361,935,0.0009888691600767829,867,0.003656565088928382,0.0025106350719761392,600,3.105410686090417e-05,2413,0.001534044484668657,1637,0.0008624188674194297,350
d_256_128_64,256-128-64,44801,15000,random,0.0027238866314291954,0.00010704831220209599,0.5136666666666667,5000,0.000749602821976587,0.002066179289556683,7.154028116929112e-05,0.3923491733192098,0.6899602855563499,0.9345600001475123,0.8482302481372098,0.00010639794969564201,2413,2.4812435424813825e-05,180,0.000110217194497232,605,0.00028411123698243344,935,0.0008113193455362166,867,0.0031578220550664625,0.0024569307204243764,600,2.4812435424813825e-05,2413,0.0011753180724809683,1637,0.0008285359608482525,350
e_256_128_64_32,256-128-64-32,46849,15000,random,0.0027238866314291954,0.00010704831220209599,0.5136666666666667,5000,0.0007627594470575651,0.0021431635447920912,6.38241835986264e-05,0.37502019639493517,0.6689779559695421,0.9270628450707781,0.8481924217356968,0.00010104283587488858,2413,2.035427725871741e-05,180,0.00010968495466967296,605,0.00027645031422659773,935,0.0008380448180834846,867,0.003222739016616897,0.0026937664400914704,600,2.035427725871741e-05,2413,0.0011302412649976002,1637,0.0008520501411616773,350
