row,model_id,base_size,total_labels,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_count,accuracy_mean,accuracy_std,accuracy_count,macro_f1_mean,macro_f1_std,macro_f1_count,mcc_mean,mcc_std,mcc_count,recall_blocked_mean,recall_blocked_std,recall_blocked_count,recall_assemblable_mean,recall_assemblable_std,recall_assemblable_count,roc_auc_mean,roc_auc_std,roc_auc_count,brier_mean,brier_std,brier_count,ece_10bin_mean,ece_10bin_std,ece_10bin_count,fit_wall_s_mean,fit_wall_s_std,fit_wall_s_count,predict_wall_s_mean,predict_wall_s_std,predict_wall_s_count,train_pos_rate_mean,train_pos_rate_std,train_pos_rate_count
al_diverse_uncertainty,extra_trees,200,200,0.5851324469980991,0.032015417970355065,8,0.900375,0.005468285184328147,8,0.6129706892287007,0.04553010561262138,8,0.30201732860654723,0.07867770955023984,8,0.18221507352941177,0.066550628047512,8,0.9880498204667864,0.0036674865733839074,8,0.8457765296213301,0.030233523880231095,8,0.07985700457202746,0.003382412315354272,8,0.05796338455258419,0.021133261337811585,8,0.07920179671782535,0.004761637013844083,8,0.047723124880576506,0.008774173041943766,8,0.910625,0.010835622468770073,8
al_diverse_uncertainty,extra_trees,200,300,0.6803440420714965,0.032018782467940245,8,0.9072,0.005138093031466032,8,0.7119629611650108,0.025630989587847867,8,0.4438540054214521,0.04296471857624962,8,0.3903952205882353,0.0712618955032111,8,0.9702928635547576,0.009358032295916942,8,0.8704336498541293,0.019369469093281876,8,0.07950860507374342,0.004083545214674417,8,0.09015352445176378,0.018985436917726004,8,0.09223662498698104,0.008999166208624324,8,0.05975506774848327,0.009852931024235975,8,0.76,0.027545056883770618,8
al_diverse_uncertainty,extra_trees,200,400,0.7211323628419052,0.015071107724469547,8,0.919675,0.0029295294600230346,8,0.7570324832914086,0.01229281503280508,8,0.5286607821746954,0.02187664522352607,8,0.46737132352941174,0.032046961946801976,8,0.9748934021543986,0.0033682508787468996,8,0.8952826740548104,0.014210575342326623,8,0.07748402021002368,0.0020331472169668047,8,0.11274865388513151,0.014318370601096536,8,0.10196338036621455,0.009399959081182107,8,0.054190937386010773,0.0058047656512029925,8,0.724375,0.013007552751053086,8
al_diverse_uncertainty,extra_trees,200,500,0.7353071123534692,0.019833787448751278,8,0.924625,0.0026692695630077903,8,0.772532117613012,0.012710346351160428,8,0.5608209889724914,0.018658878805091764,8,0.49333639705882354,0.044811782629414036,8,0.9772778276481149,0.006046468055778368,8,0.9032188300308902,0.01562909923248499,8,0.07858285468550011,0.004022965422016853,8,0.12699238644490013,0.017942648088198572,8,0.10486486426088959,0.0011960590404946404,8,0.056721880377153866,0.006153851081326933,8,0.6935,0.014609194756336473,8
al_diverse_uncertainty,extra_trees,200,600,0.7513161781207096,0.018335744768829324,8,0.92835,0.0021105178782198785,8,0.7871659072944117,0.011898799631851554,8,0.5869675822929578,0.01821560080182162,8,0.5250459558823529,0.040272968317557806,8,0.9775864003590664,0.004169969635077262,8,0.9158011349947857,0.013543365146474912,8,0.07900389347182826,0.003912851606129433,8,0.13887511820144582,0.01635119748972844,8,0.12724817713024095,0.011646468813677958,8,0.06122090085409582,0.006681283318540944,8,0.6720833333333334,0.008579691784155859,8
al_diverse_uncertainty,extra_trees,200,700,0.7752293256283662,0.01803594400694873,8,0.9325,0.003444249866495912,8,0.8056983654310982,0.013200864653857287,8,0.6190507736064178,0.023921115252638913,8,0.57421875,0.0376205209754124,8,0.9762399012567324,0.002975861900913895,8,0.9234390057358222,0.012316060087669662,8,0.0797864156652789,0.0026895803376451306,8,0.1497405471448084,0.012291870189277758,8,0.12521826024749316,0.0076836652761910285,8,0.0690857864683494,0.010326961495772186,8,0.6507142857142857,0.009035079029052552,8
al_diverse_uncertainty,extra_trees,200,800,0.7782063509874326,0.012911550952507272,8,0.93475,0.0025337718918639987,8,0.8110701187425393,0.00889914640848791,8,0.630784918891332,0.015876118870682274,8,0.578125,0.027721939538648453,8,0.9782877019748654,0.00320923466025028,8,0.9295381124425758,0.011426000428244253,8,0.08078259609298546,0.0029376075064197786,8,0.1583613983420602,0.011773108617182058,8,0.1422642918623751,0.009688123280757781,8,0.06298780713404994,0.006563499241875337,8,0.63734375,0.008112971866091999,8
al_diverse_uncertainty,extra_trees,200,900,0.7836930048051537,0.011761010272002709,8,0.9359000000000001,0.0019123657749350329,8,0.8154929949088473,0.007452067650958309,8,0.6387681941897678,0.013264874285194387,8,0.5891544117647058,0.025471335405424653,8,0.9782315978456014,0.002740665590300403,8,0.9352676435110624,0.011078510820612196,8,0.08186795430601132,0.0024501128362023543,8,0.16517804607342856,0.009845680104951203,8,0.15610735952213872,0.011102003656250706,8,0.07875219237757847,0.011067519383452821,8,0.62625,0.005209457550626677,8
al_diverse_uncertainty,extra_trees,200,1000,0.7910112934311966,0.009072961709380862,8,0.9359999999999999,0.003135055251278891,8,0.8188332142841843,0.00736494536528061,8,0.6434611506421645,0.015528344012110805,8,0.6056985294117647,0.0200407395255661,8,0.9763240574506283,0.004164034500286151,8,0.9372338663500633,0.010143073231483703,8,0.08285915855741502,0.0033021889366024464,8,0.16842506594102594,0.00952110941920901,8,0.15946890100894962,0.0101547046341248,8,0.07369933350128122,0.0094709361235719,8,0.615875,0.0072395244516276136,8
al_diverse_uncertainty,extra_trees,200,1100,0.7980007953585384,0.007334109090754707,8,0.93875,0.001857032963781581,8,0.8265543308531599,0.00503636903601654,8,0.6588194970494656,0.009842776757736923,8,0.6181066176470589,0.016137929162748508,8,0.9778949730700179,0.0026116198838697533,8,0.9419974575753777,0.010093591418032283,8,0.08307610196998189,0.0028323219543625487,8,0.17422719379335969,0.00914910781787395,8,0.1711789063847391,0.010334452166697556,8,0.074953838615329,0.005028277959870914,8,0.6092045454545455,0.005613222288740194,8
al_diverse_uncertainty,extra_trees,200,1200,0.7981323925440913,0.012138769543111359,8,0.938625,0.0025035688811888388,8,0.8262939758254685,0.009187338940488421,8,0.6581110530490941,0.016889008689288273,8,0.6185661764705882,0.024740684271667802,8,0.9776986086175943,0.0013246142994657016,8,0.9448494346683916,0.00888707569427708,8,0.08409888977172396,0.00188503198376735,8,0.17812006278879206,0.008385021103403778,8,0.1810909791092854,0.010812547024898356,8,0.08925660949898884,0.014325212168987583,8,0.6020833333333333,0.005669467095138378,8
al_diverse_uncertainty,extra_trees,200,1300,0.8059481927869891,0.0057544025864457215,8,0.9410499999999999,0.0018260026599886759,8,0.8338448967130908,0.004236364960164792,8,0.672921450490751,0.008855646031563923,8,0.6332720588235294,0.012998286418870358,8,0.9786243267504489,0.00264379148986723,8,0.9476927486237987,0.00845078915062063,8,0.08441026702206504,0.002765630022754005,8,0.18332632544398453,0.007926575043148558,8,0.18300956777238753,0.007535042142715592,8,0.08198378625093028,0.008440085237112272,8,0.595,0.0051846708184990495,8
al_diverse_uncertainty,extra_trees,200,1400,0.8081445044355264,0.010051001186214485,8,0.94065,0.002513392698553634,8,0.8338863127092953,0.006218655565576653,8,0.672454071139791,0.012230736351878923,8,0.6387867647058824,0.022727097188465155,8,0.9775022441651706,0.003990667654800205,8,0.9503802292348716,0.007819340837206448,8,0.08532282363416098,0.0031803620551408957,8,0.18639682341027602,0.007859155841629387,8,0.19006315612932667,0.004225124988314551,8,0.0747010000195587,0.006984179560184452,8,0.5903571428571428,0.00601262035210459,8
al_diverse_uncertainty,extra_trees,200,1500,0.8150071532764811,0.012574057534621595,8,0.942275,0.002803951293646696,8,0.8393387191605972,0.008639983854127585,8,0.6827201237982545,0.016534423508260763,8,0.65234375,0.026845024394553895,8,0.9776705565529623,0.0033630402774925045,8,0.9494515202568908,0.010097652655496364,8,0.08618099765845001,0.002336413976786909,8,0.1900523347791006,0.008947052520921348,8,0.20430477609625086,0.013828010771782523,8,0.09446127599221654,0.01670304338732963,8,0.5853333333333333,0.005039526306789758,8
al_diverse_uncertainty,extra_trees,200,1600,0.8124234756178055,0.006797821631038406,8,0.9416249999999999,0.0026585441773378784,8,0.8373011368955838,0.006360985640688297,8,0.6786624475763589,0.013233999958770701,8,0.6472886029411764,0.014455507140766006,8,0.9775583482944344,0.003153260273387262,8,0.9520448923790791,0.008277694597486606,8,0.08724604237108778,0.002757646720763573,8,0.1926122244920762,0.007544212733080567,8,0.21260761976009235,0.0036149984170207945,8,0.07770972403523047,0.008333917582006505,8,0.58296875,0.005637387154397996,8
al_diverse_uncertainty,extra_trees,200,1700,0.820563937255782,0.006532264710639773,8,0.94355,0.002609323940903389,8,0.8437752548538042,0.005530701211420166,8,0.6910676351127506,0.011900544312956037,8,0.6633731617647058,0.01504459908193255,8,0.9777547127468582,0.0036961874338349286,8,0.9541619466317721,0.008439763278721783,8,0.08699548418253493,0.0033654433663990774,8,0.19539740006383333,0.007724165037615233,8,0.21605953636753839,0.0056175316456060454,8,0.07908208321896382,0.006509195311042947,8,0.5798529411764706,0.00532437664459274,8
al_diverse_uncertainty,extra_trees,200,1800,0.8198411840611469,0.00880902978057321,8,0.9437,0.0024634470622628144,8,0.8437750300976428,0.0058852167178694865,8,0.6913520438695875,0.011995835180522779,8,0.6615349264705882,0.01988203740472981,8,0.9781474416517055,0.0037146332930277884,8,0.9573618930853312,0.0067798514382398705,8,0.08638904680700327,0.002749058613277356,8,0.19508511866978864,0.006734524870160579,8,0.22657834374695085,0.007340156646133074,8,0.07950346861616708,0.008901517980656127,8,0.5770833333333333,0.005529701747014457,8
al_diverse_uncertainty,extra_trees,200,1900,0.8201503755676418,0.006926235163021426,8,0.94515,0.002096936541038563,8,0.8466366811472368,0.006004625265804471,8,0.6976166546527771,0.011934674550853156,8,0.6603860294117647,0.013887065123023398,8,0.9799147217235189,0.0017792301776752243,8,0.9592261693585649,0.007977427478100669,8,0.08692204262856652,0.003443190903807476,8,0.1987629395458445,0.01000997535677714,8,0.2391940626257565,0.006791003638260201,8,0.07766567687212955,0.00444391249912957,8,0.5736184210526316,0.004868167032592667,8
