# SOURCE: runs_dir=runs; benchmark=['overlap_ranked100_v2']; n_subgroups=42; generated=2026-07-01T17:57:43+00:00
variant,model_id,optimizer,n_success,baseline_mean_L_over_D,final_mean_L_over_D,mean_delta_L_over_D,median_delta_L_over_D,mean_rel_delta_L_over_D,mean_delta_CD0,median_delta_CD0,mean_delta_CD,final_vlm_ok_rate,mean_delta_weight,note
d,eng_log_huber_100k,one_shot_gradient_line_search,80,11.127415634420817,14.754667306243121,3.6272516718223096,0.1350235144629881,0.21854472399415922,-0.0006947228646402733,-0.00037268273467337514,0.0049289061435707675,1.0,,unavailable in the VLM quick sim (needs CAD compute_uav_mass_cog / full report)
d,eng_log_huber_100k,receding_multistep_gradient,91,468.3948300101448,14.935887615886568,-453.4589423942581,0.3107824502526437,0.8404864278382564,-0.0010895301176550615,-0.0007910111496525624,-616.0480990280972,1.0,,unavailable in the VLM quick sim (needs CAD compute_uav_mass_cog / full report)
d,eng_log_huber_100k,receding_multistep_penalty,91,468.3948300101448,14.79190605422449,-453.6029239559201,0.26165579924482074,0.8166644849071523,-0.0009162253744518878,-0.0007441997996944609,-616.0471622668948,1.0,,unavailable in the VLM quick sim (needs CAD compute_uav_mass_cog / full report)
d,eng_log_huber_100k,full_coordinate_grid_refine,63,679.4390148439327,14.366430735146299,-665.072584108786,-0.023830505420502135,0.03856620642624411,-4.593752029336612e-05,0.0,-0.01655461122400701,1.0,,unavailable in the VLM quick sim (needs CAD compute_uav_mass_cog / full report)
d,eng_log_huber_100k,trust_region_hybrid,79,544.6069948375615,15.253966025159338,-529.3530288124019,0.07956821780174117,0.30564251711240387,9.821078422349046e-05,4.007667194815684e-05,-0.03351069401781047,1.0,,unavailable in the VLM quick sim (needs CAD compute_uav_mass_cog / full report)
d,eng_log_huber_100k,trust_region_hybrid_shrinkage,70,611.7376018369583,747.6068390307476,135.86923719378885,0.05205229207527484,139.98533660866232,0.0001298897360624923,0.00010570417458460012,-0.015843367284129575,1.0,,unavailable in the VLM quick sim (needs CAD compute_uav_mass_cog / full report)
d,eng_log_huber_100k,all,91,468.3948300101448,14.55586154036187,-453.83896846978297,0.036523098640152796,0.7702514534576238,-0.0004198145871123285,0.0,-616.0415185338298,1.0,,unavailable in the VLM quick sim (needs CAD compute_uav_mass_cog / full report)
e,raw_log_huber_100k,one_shot_gradient_line_search,83,512.382551162088,13.606816264230803,-498.77573489785715,0.10042090986518204,0.9526930963121011,-0.0004023539971119741,-0.00031861084065048714,-675.4287694537911,1.0,,unavailable in the VLM quick sim (needs CAD compute_uav_mass_cog / full report)
e,raw_log_huber_100k,receding_multistep_gradient,88,483.8645080140149,15.516250008273774,-468.3482580057414,0.226515451965283,0.9082222816627481,-0.0009861920124737702,-0.0008020410803491595,-637.0484416966906,1.0,,unavailable in the VLM quick sim (needs CAD compute_uav_mass_cog / full report)
e,raw_log_huber_100k,receding_multistep_penalty,87,489.2415940249103,15.356922020423577,-473.8846720044865,0.22287384965540546,0.9143409146885187,-0.000977969170801385,-0.0006241494916109612,-644.3711462789748,1.0,,unavailable in the VLM quick sim (needs CAD compute_uav_mass_cog / full report)
