# SOURCE: runs_dir=runs; benchmark=['overlap_ranked100_v2']; n_subgroups=42; generated=2026-07-01T17:57:43+00:00
optimizer,a_L2,a_L1,a_L0,b_L2,b_L1,b_L0,c_L2,c_L1,c_L0,d_L2,d_L1,d_L0,e_L2,e_L1,e_L0,f_L2,f_L1,f_L0
one_shot_gradient_line_search,0.28232487149865737,0.6054375259236494,5.0,0.22350187749734804,0.4723745784290303,5.0,0.23318477922267045,0.48859895846036744,5.0,0.20243803093331603,0.4159466950114267,5.0,0.22648821702856334,0.47387057724169884,5.0,0.28232487149865737,0.6054375259236494,5.0
receding_multistep_gradient,0.4005805296972042,0.9093062853069823,5.630434782608695,0.4256459706195821,0.9937518984025837,5.842696629213483,0.35892804755252966,0.7688067047128184,5.173913043478261,0.3611368324940858,0.8069785830457119,5.428571428571429,0.3400414635406295,0.7285085092655592,5.363636363636363,0.4005805296972042,0.9093062853069823,5.630434782608695
receding_multistep_penalty,0.3765020146422265,0.860869742387915,6.076086956521739,0.4026728923845766,0.9602333069738034,6.775280898876405,0.32343964621647,0.6999105980113726,5.358695652173913,0.32601809924072583,0.7456368551054375,6.1208791208791204,0.29925454228550763,0.6607310338997351,6.275862068965517,0.3765020146422265,0.860869742387915,6.076086956521739
full_coordinate_grid_refine,0.17676086878862576,0.17676086878862576,1.0,0.179901105661903,0.179901105661903,1.0,0.17676086878862576,0.17676086878862576,1.0,0.179901105661903,0.179901105661903,1.0,0.17754140287093337,0.17754140287093337,1.0,0.17676086878862576,0.17676086878862576,1.0
trust_region_hybrid,0.18266990584666712,0.4661948823654221,9.2875,0.16900263331704266,0.4128581823527644,9.233766233766234,0.15043906771516158,0.40196267835730887,9.753086419753087,0.15155758065843697,0.3826466086166802,9.582278481012658,0.15543643588764378,0.41726830313655755,9.698630136986301,0.18266990584666712,0.4661948823654221,9.2875
trust_region_hybrid_shrinkage,0.14321956535541905,0.32466895059563533,7.5131578947368425,0.14342892089451245,0.30286036095969576,6.957142857142857,0.11436713911723051,0.2820259961471025,8.073529411764707,0.1223810979169175,0.28460699500279435,7.857142857142857,0.12444912717246648,0.2988752374464294,7.953125,0.14291639358433783,0.32335876915740613,7.565789473684211
all,0.2371737707051549,0.38926717443326153,2.521276595744681,0.2175719854469538,0.35115494961608335,2.411111111111111,0.20895904766891918,0.3069172093983861,2.3225806451612905,0.20508810738534694,0.2972957041882498,2.318681318681319,0.20218796213254134,0.3094328936138108,2.6333333333333333,0.2376697670893882,0.390205380086731,2.5319148936170213
