# SOURCE: runs_dir=runs; benchmark=['overlap_ranked100_v2']; n_subgroups=42; generated=2026-07-01T17:57:43+00:00
variant,model_id,optimizer,method,gate,tau_decide_mm3,p_star,verified_ok,false_ok,coverage_n,proximity_n,mean_l2,mean_l1,mean_l0,mean_final_overlap_mm3,sim_n_success,sim_baseline_mean_LD,sim_final_mean_LD,sim_mean_dLD,sim_median_dLD,sim_mean_dCD0,sim_mean_dCD,sim_final_vlm_ok_rate,n_starts,benchmark_id,run_id
a,eng_multitask_gate_strong_100k,all,"All (best of 6, CAD-adjudicated)",reg,1.0,,94,6,100,94,0.2371737707051549,0.38926717443326153,2.521276595744681,0.30940796651602065,94,454.17752460623007,14.885937417153235,-439.29158718907644,0.008253682916469884,0.0003514921062211845,-940.3204879252316,1.0,100,overlap_ranked100_v2,model_a_eng_multitask_gate_strong_featgrad_detached__all__eng_multitask_gate_strong_100k
a,eng_multitask_gate_strong_100k,full_coordinate_grid_refine,Full coordinate grid + refine,reg,1.0,,62,27,100,62,0.17676086878862576,0.17676086878862576,1.0,26820.5284825123,62,690.0645652435941,14.150859379066258,-675.9137058645274,0.0,-6.406424549325363e-05,-0.023003863731443787,1.0,100,overlap_ranked100_v2,model_a_eng_multitask_gate_strong_featgrad_detached__full_coordinate_grid_refine__eng_multitask_gate_strong_100k
a,eng_multitask_gate_strong_100k,full_coordinate_grid_refine,Full coordinate grid + refine,reg,0.5,,68,21,100,68,0.17691402552813187,0.17691402552813187,1.0,26808.314150959548,62,690.0645652435941,14.150859379066258,-675.9137058645274,0.0,-6.406424549325363e-05,-0.023003863731443787,1.0,100,overlap_ranked100_v2,model_a_eng_multitask_gate_strong_featgrad_detached__full_coordinate_grid_refine__eng_multitask_gate_strong_100k
a,eng_multitask_gate_strong_100k,full_coordinate_grid_refine,Full coordinate grid + refine,reg,0.1,,79,10,100,79,0.18643532341795516,0.18643532341795516,1.0,26683.3461745177,62,690.0645652435941,14.150859379066258,-675.9137058645274,0.0,-6.406424549325363e-05,-0.023003863731443787,1.0,100,overlap_ranked100_v2,model_a_eng_multitask_gate_strong_featgrad_detached__full_coordinate_grid_refine__eng_multitask_gate_strong_100k
a,eng_multitask_gate_strong_100k,full_coordinate_grid_refine,Full coordinate grid + refine,reg,0.01,,85,4,100,85,0.23037450763251038,0.23037450763251038,1.0,26661.97278346939,62,690.0645652435941,14.150859379066258,-675.9137058645274,0.0,-6.406424549325363e-05,-0.023003863731443787,1.0,100,overlap_ranked100_v2,model_a_eng_multitask_gate_strong_featgrad_detached__full_coordinate_grid_refine__eng_multitask_gate_strong_100k
a,eng_multitask_gate_strong_100k,one_shot_gradient_line_search,One-shot gradient line search,reg,1.0,,81,16,100,81,0.28232487149865737,0.6054375259236494,5.0,5531.413711569701,81,524.3802367870021,18.760240692562462,-505.61999609443933,0.05992895913946761,0.0009809130631676134,-692.1011801230372,1.0,100,overlap_ranked100_v2,model_a_eng_multitask_gate_strong_featgrad_detached__one_shot_gradient_line_search__eng_multitask_gate_strong_100k
a,eng_multitask_gate_strong_100k,one_shot_gradient_line_search,One-shot gradient line search,reg,0.5,,86,11,100,86,0.2831576178061111,0.6059377302124621,4.976744186046512,5525.203800271556,81,524.3802367870021,18.760240692562462,-505.61999609443933,0.05992895913946761,0.0009809130631676134,-692.1011801230372,1.0,100,overlap_ranked100_v2,model_a_eng_multitask_gate_strong_featgrad_detached__one_shot_gradient_line_search__eng_multitask_gate_strong_100k
a,eng_multitask_gate_strong_100k,one_shot_gradient_line_search,One-shot gradient line search,reg,0.1,,94,3,100,94,0.315353708368603,0.6756539382992577,5.0,5522.757818193895,81,524.3802367870021,18.760240692562462,-505.61999609443933,0.05992895913946761,0.0009809130631676134,-692.1011801230372,1.0,100,overlap_ranked100_v2,model_a_eng_multitask_gate_strong_featgrad_detached__one_shot_gradient_line_search__eng_multitask_gate_strong_100k
a,eng_multitask_gate_strong_100k,one_shot_gradient_line_search,One-shot gradient line search,reg,0.01,,95,2,100,95,0.40650114204339444,0.8778978536437143,5.0,5522.2845739745935,81,524.3802367870021,18.760240692562462,-505.61999609443933,0.05992895913946761,0.0009809130631676134,-692.1011801230372,1.0,100,overlap_ranked100_v2,model_a_eng_multitask_gate_strong_featgrad_detached__one_shot_gradient_line_search__eng_multitask_gate_strong_100k
a,eng_multitask_gate_strong_100k,receding_multistep_gradient,Receding-horizon multistep gradient,reg,1.0,,92,8,100,92,0.4005805296972042,0.9093062853069823,5.630434782608695,47.06552112342585,92,463.21618223827903,15.382981867798076,-447.833200370481,0.19198849689500008,0.00042571116377235224,-604.0211919318799,1.0,100,overlap_ranked100_v2,model_a_eng_multitask_gate_strong_featgrad_detached__receding_multistep_gradient__eng_multitask_gate_strong_100k
