# SOURCE: runs_dir=runs; benchmark=['overlap_ranked100_v2']; n_subgroups=42; generated=2026-07-01T17:57:43+00:00
variant,model_id,gate,tau_decide_mm3,p_star,verified_ok,false_ok,coverage_n,proximity_n,mean_l2,mean_l1,mean_l0
a,eng_multitask_gate_strong_100k,-,1.0,,94,6,100,94,0.2371737707051549,0.38926717443326153,2.521276595744681
b,eng_log_huber_100k,-,1.0,,90,6,100,90,0.2175719854469538,0.35115494961608335,2.411111111111111
c,eng_multitask_gate_strong_100k,-,1.0,,93,7,100,93,0.20895904766891918,0.3069172093983861,2.3225806451612905
d,eng_log_huber_100k,-,1.0,,91,7,100,91,0.20508810738534694,0.2972957041882498,2.318681318681319
e,raw_log_huber_100k,-,1.0,,90,10,100,90,0.20218796213254134,0.3094328936138108,2.6333333333333333
f,eng_multitask_gate_strong_100k,-,1.0,,94,6,100,94,0.2376697670893882,0.390205380086731,2.5319148936170213
