run_id,optimizer,strength_param,strength,verified_clean_count,false_success_count,median_R_pred,median_R_actual
aero_preserve__aero_budget_trust_region__beta_inf__eng_multitask_gate_strong_100k,aero_budget_trust_region,beta,1e+99,73,22,0.048468439,0.031510444
aero_preserve__aero_penalized_receding__lambda_0__eng_multitask_gate_strong_100k,aero_penalized_receding,lambda_aero,0.0,92,8,0.3970709,0.63758002
aero_preserve__aero_penalized_receding__lambda_100__eng_multitask_gate_strong_100k,aero_penalized_receding,lambda_aero,100.0,47,12,0.072875303,0.10667342
aero_preserve__aero_penalized_receding__lambda_10__eng_multitask_gate_strong_100k,aero_penalized_receding,lambda_aero,10.0,76,13,0.15955654,0.35209509
aero_preserve__aero_tangent_receding__alpha_0__eng_multitask_gate_strong_100k,aero_tangent_receding,alpha,0.0,92,8,0.49509369,0.80498613
aero_preserve__aero_tangent_receding__alpha_0p9__eng_multitask_gate_strong_100k,aero_tangent_receding,alpha,0.9,92,7,0.1265558,0.30290853
aero_preserve__all_aero__eng_multitask_gate_strong_100k,all_aero,meta,,94,6,,0.108
