variant_id,arch_id,budget,n_runs,engineered,loss_variant,multitask,mae_log_mean,mae_log_std,typical_factor_mean,typical_factor_std,gate_f1_mean,gate_f1_std,spearman_mm3_mean,spearman_mm3_std,cond_mae_log_mean,cond_mae_log_std,cond_typical_factor_mean,cond_typical_factor_std,gate_f1_binary_mean,gate_f1_binary_std
eng_gate_aug_strong,mlp_256_128_64_32,5000,30,True,gate_augmented,False,0.40455481283229117,0.044693363415792296,2.551146299900736,0.25585787398336646,0.9186016152111821,0.014268473708331826,0.8627355149420597,0.039558544504818154,0.7372846666933803,0.09182734938498517,5.584051187604441,1.2505826944009,,
eng_gate_aug_strong,mlp_256_128_64_32,10000,30,True,gate_augmented,False,0.35613076950351147,0.026980759163722796,2.2748081752117995,0.14237409262287434,0.9291072905648968,0.010261836023019676,0.8379662107662108,0.04011279307830573,0.6737241747365812,0.05961939407314831,4.762660199360746,0.6992101076656546,,
eng_gate_aug_strong,mlp_256_128_64_32,15000,30,True,gate_augmented,False,0.3467066026306244,0.032468713509322004,2.228144982182057,0.1807502519532283,0.9350452121324512,0.007048759751345121,0.8606588499520815,0.026011266021014674,0.6751554036847799,0.10583785991120757,4.907328994820018,1.7337900972094253,,
eng_gate_aug_strong,mlp_256_128_64_32,20000,30,True,gate_augmented,False,0.33612739959497706,0.02861075536523517,2.1729743086705278,0.1470601057390784,0.9359576318604809,0.006686322785818058,0.8502514894628723,0.03104040385648996,0.6620866681464647,0.0803479040509994,4.6737029015645515,0.939541473601564,,
eng_gate_aug_strong,mlp_256_128_64_32,25000,30,True,gate_augmented,False,0.3297521246327269,0.02123533421125403,2.139234885115215,0.10606215724727928,0.9384403476669755,0.005652289097038189,0.8615619346371095,0.028503199290757564,0.6553585240737968,0.058818869050500926,4.564188628323597,0.657260099713491,,
eng_gate_aug_strong,mlp_256_128_64_32,30000,30,True,gate_augmented,False,0.32767881375035635,0.016035108631209084,2.1279762094723407,0.07931838106618624,0.9388329386826174,0.004803855046309611,0.854754488143091,0.03224090149988964,0.6577582602861483,0.0551996657091285,4.584494840679833,0.6217977521467449,,
eng_gate_aug_strong,mlp_256_128_64_32,35000,30,True,gate_augmented,False,0.3251488920944357,0.014079301900849094,2.1152925484271887,0.06902567097012369,0.9394460023098724,0.004301474462142604,0.8502928233521839,0.032125808799094574,0.651538932259298,0.042377977045795004,4.5036278099470985,0.44816768455397077,,
eng_gate_aug_strong,mlp_256_128_64_32,40000,30,True,gate_augmented,False,0.32984930201489066,0.02236088160500156,2.1399888424140103,0.11193104542308344,0.9392583611997289,0.0044348940822766195,0.8500888544305533,0.03305857455356746,0.6715957124566081,0.058370114579011104,4.7365107117968686,0.6553289074213539,,
eng_gate_aug_strong,mlp_256_128_64_32,45000,30,True,gate_augmented,False,0.3263069086300685,0.017282036411207284,2.1214942809656696,0.08542065663396992,0.9393571573093087,0.003642190426734205,0.8528300589446939,0.027672852067774485,0.6598025021820859,0.04944858597698817,4.598308756921626,0.5459414984346012,,
eng_gate_aug_strong,mlp_256_128_64_32,50000,30,True,gate_augmented,False,0.32635524338111993,0.02078539289480008,2.122495209924223,0.10506804932094252,0.9396404584645545,0.0037859339642042243,0.8538064053362562,0.028416550460714774,0.6615916137876183,0.0537674953494893,4.623820045067434,0.6286222499160338,,
