accuracy,balanced_accuracy,base_size,brier,macro_f1,mcc,precision_blocked,recall_assemblable,recall_blocked,roc_auc,round_idx,row,seed_split,status,total_labels,train_pos_rate,wall_s
0.9472,0.9421351911500686,1000,0.037600956659106406,0.8818947940298892,0.7762868266051983,0.6897018970189702,0.948608617594255,0.9356617647058824,0.9888101139243849,0,row1_uncertainty_disagreement,1,ok,1000,0.8912,2.0186272909631953
0.9496,0.9644613343542084,1000,0.035817549269043965,0.89017038930936,0.7979996284545751,0.6876606683804627,0.9454667863554758,0.9834558823529411,0.993075265339529,1,row1_uncertainty_disagreement,1,ok,1250,0.8912,1.3054859159747139
0.9736,0.9738917784348928,1000,0.017385132066768248,0.9371376844723223,0.8787174774593169,0.8179012345679012,0.9735188509874326,0.9742647058823529,0.9971857178688351,2,row1_uncertainty_disagreement,1,ok,1500,0.8912,2.4820754160173237
0.9868,0.9885597079945084,1000,0.011006957156478573,0.9674275588909735,0.9363058149223568,0.8983333333333333,0.9863105924596051,0.9908088235294118,0.9989707367462244,3,row1_uncertainty_disagreement,1,ok,1750,0.8912,2.1879267080221325
0.989,0.9914078176153764,1000,0.008024024343914395,0.9727107575483781,0.9465536311994027,0.9123102866779089,0.9883303411131059,0.9944852941176471,0.9994117317034533,4,row1_uncertainty_disagreement,1,ok,2000,0.8912,3.9902212080196477
0.9898,0.9894359224838949,1000,0.007123556984996256,0.9744996710457565,0.9497294411130173,0.9228130360205832,0.9899012567324955,0.9889705882352942,0.9993609904688985,5,row1_uncertainty_disagreement,1,ok,2250,0.8912,3.5913751660264097
0.9898,0.9918566506494878,1000,0.007587373937915834,0.9746175486703528,0.9501986485604555,0.9185059422750425,0.9892280071813285,0.9944852941176471,0.9994542223307635,6,row1_uncertainty_disagreement,1,ok,2500,0.8912,3.570219209010247
0.9928,0.9935397745274053,1000,0.005595821252425717,0.9818732505169145,0.9641898246523177,0.9425087108013938,0.9925942549371634,0.9944852941176471,0.9996943150015841,7,row1_uncertainty_disagreement,1,ok,2750,0.8912,3.878921875031665
0.9914,0.9879128603865244,1000,0.006025173517372039,0.9782635750797852,0.9568355305273868,0.9402460456942003,0.9923698384201077,0.9834558823529411,0.9995255900834301,8,row1_uncertainty_disagreement,1,ok,3000,0.8912,3.2071101250476204
0.9898,0.9894359224838949,1000,0.0076370505684309475,0.9744996710457565,0.9497294411130173,0.9228130360205832,0.9899012567324955,0.9889705882352942,0.9993779042137502,9,row1_uncertainty_disagreement,1,ok,3250,0.8912,3.73210999998264
0.9878,0.9818585647903686,1000,0.00893776604671079,0.9693570783491281,0.9392371089711742,0.9185441941074524,0.9894524236983842,0.9742647058823529,0.9989571232442707,10,row1_uncertainty_disagreement,1,ok,3500,0.8912,3.2807657499797642
0.921,0.9346980937797021,1000,0.055675040338654336,0.8389364291464225,0.7086774399934472,0.5839909808342728,0.9171903052064632,0.9522058823529411,0.9826155580050692,0,row1_uncertainty_disagreement,2,ok,1000,0.8912,1.2098849579924718
0.9614,0.9597848901679165,1000,0.028729265083773037,0.9108526505169854,0.8297159921817436,0.7539797395079595,0.9618491921005387,0.9577205882352942,0.9922588677526667,1,row1_uncertainty_disagreement,2,ok,1250,0.8912,1.2501765830093063
0.9784,0.9757778672510297,1000,0.015690084842644666,0.9475750754045166,0.8977867691316745,0.8504823151125402,0.979129263913824,0.9724264705882353,0.997373419183652,2,row1_uncertainty_disagreement,2,ok,1500,0.8912,2.5071213750052266
0.9746,0.975259729116063,1000,0.01717419270886668,0.939386875817263,0.8829967716523128,0.8232558139534883,0.9744165170556554,0.9761029411764706,0.9974670635758791,3,row1_uncertainty_disagreement,2,ok,1750,0.8912,2.7221729579614475
