accuracy,balanced_accuracy,brier,macro_f1,mcc,precision_blocked,recall_assemblable,recall_blocked,replicate,roc_auc,row,status,total_labels,train_pos_rate
0.8948,0.8602875171612631,0.08160317945229591,0.7833715686633054,0.5918567430227162,0.5103448275862069,0.9043985637342908,0.8161764705882353,1,0.939150946509663,baseline_random,ok,250,0.8912
0.9048,0.8279731888266977,0.07249368072802974,0.7853361113365984,0.5797687592539572,0.546831955922865,0.9261669658886894,0.7297794117647058,2,0.9381548919500474,baseline_random,ok,250,0.8912
0.8618,0.7570476687084169,0.09899555515745796,0.7075958804110313,0.4312811648412539,0.4109090909090909,0.8909335727109515,0.6231617647058824,3,0.8551993676734608,baseline_random,ok,250,0.8912
0.8408,0.8186945559193157,0.10820061242249505,0.7119628903988402,0.4772667284398184,0.38669064748201437,0.8469479353680431,0.7904411764705882,4,0.8967952166279438,baseline_random,ok,250,0.8912
0.9132,0.8794866802196641,0.06616915143542755,0.8134723505853358,0.6446573445065779,0.56875,0.922576301615799,0.8363970588235294,5,0.9539199460080263,baseline_random,ok,250,0.8912
0.8844,0.864135600380188,0.0834539568553418,0.7720802214528506,0.5789988975669791,0.4820295983086681,0.8900359066427289,0.8382352941176471,1,0.9443055133857853,baseline_random,ok,500,0.8912
0.9346,0.9116656985954166,0.04671983970151073,0.8541953092624504,0.7207762803222763,0.6460296096904441,0.9409784560143627,0.8823529411764706,2,0.9777947281919949,baseline_random,ok,500,0.8912
0.8822,0.8895293193579048,0.08363217457743122,0.7771389346151363,0.6013489766711744,0.4780058651026393,0.88016157989228,0.8988970588235294,3,0.9559945611997044,baseline_random,ok,500,0.8912
0.9178,0.8796467420002112,0.060352756410097984,0.8200647504219285,0.6546899621256749,0.5862516212710766,0.928411131059246,0.8308823529411765,4,0.9623124636973281,baseline_random,ok,500,0.8912
0.8972,0.8793860228112789,0.07587880517927369,0.7922239027562591,0.6144607088557497,0.516629711751663,0.9021543985637342,0.8566176470588235,5,0.9526031490917732,baseline_random,ok,500,0.8912
0.9208,0.9095716944767135,0.057762590102613094,0.8325312312337712,0.6868560460217824,0.589588377723971,0.9239228007181328,0.8952205882352942,1,0.9720869581001162,baseline_random,ok,750,0.8912
0.9444,0.8969911685500053,0.04342348500892578,0.8672226883756615,0.7380673825395673,0.7065217391304348,0.9575852782764811,0.8363970588235294,2,0.9735225637606928,baseline_random,ok,750,0.8912
0.9178,0.8957849297708311,0.06050250955098215,0.8245685175186049,0.6686451255731622,0.5819975339087546,0.9239228007181328,0.8676470588235294,3,0.9644718538784455,baseline_random,ok,750,0.8912
