architecture,row,base_size,total_labels,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_count,recall_blocked_mean,recall_blocked_std,recall_blocked_count,recall_assemblable_mean,recall_assemblable_std,recall_assemblable_count,roc_auc_mean,roc_auc_std,roc_auc_count,mcc_mean,mcc_std,mcc_count,brier_mean,brier_std,brier_count,ece_10bin_mean,ece_10bin_std,ece_10bin_count,fit_wall_s_mean,fit_wall_s_std,fit_wall_s_count,parameter_count_mean,parameter_count_std,parameter_count_count
constraint_graph_mpnn_v1,baseline_random,0,250,0.8782764811490127,0.006583602085236827,5,0.875,0.03367032919855556,5,0.8815529622980252,0.03125252810894963,5,0.9523811252508185,0.005623365059380163,5,0.5919992478079784,0.037320182140642574,5,0.08377516097231866,0.01647137839241047,5,0.10999455858875022,0.03225462469260254,5,26.273352083202916,5.698691311462166,5,46033.0,0.0,5
constraint_graph_mpnn_v1,baseline_random,0,500,0.8942628577463301,0.02276733981665452,5,0.8852941176470589,0.06051676073989607,5,0.9032315978456014,0.020996680859727418,5,0.9643723103020383,0.009648649856013611,5,0.6375842477610303,0.027441471161122517,5,0.06941214227230028,0.011537882264751087,5,0.09289555276065745,0.02408910580342523,5,53.91500409200089,21.585082315358584,5,46033.0,0.0,5
constraint_graph_mpnn_v1,baseline_random,0,1000,0.924090783081635,0.009619836932651926,5,0.9547794117647059,0.02419916504965298,5,0.8934021543985636,0.03022341472431695,5,0.9772882234132432,0.005347603457848883,5,0.6658183763750991,0.04550466097264169,5,0.0699780969212183,0.01667627826921387,5,0.10801239489091632,0.03198897638327272,5,90.26514029980171,45.359277231292545,5,46033.0,0.0,5
constraint_graph_mpnn_v1,baseline_random,0,2000,0.936702331291583,0.006450652796926123,5,0.9643382352941178,0.026594125535083477,5,0.9090664272890484,0.018734008035998406,5,0.9835801364980462,0.001726141512912846,5,0.7008766338913205,0.024500907260094157,5,0.059286607809757266,0.009290829354784164,5,0.09213790791801894,0.0189014175864294,5,197.49548197479453,55.03773421444173,5,46033.0,0.0,5
constraint_graph_mpnn_v1,baseline_random,0,3500,0.9451047497095786,0.0028969449632578474,5,0.9805147058823529,0.0106870895983446,5,0.9096947935368043,0.00922103409987052,5,0.9869016659626147,0.00188776457181049,5,0.7111545850145179,0.01395727668548545,5,0.0575067980934699,0.005262671687009101,5,0.09246696027101711,0.009371229996081504,5,420.4307728584157,61.64348130043332,5,46033.0,0.0,5
constraint_graph_mpnn_v1,row1_pure_hybrid,0,250,0.8726712661051853,0.03073378108324974,8,0.8497242647058824,0.09047591692885819,8,0.8956182675044884,0.03274382061412578,8,0.9543440014372557,0.00819646868148113,8,0.601872677321823,0.019506169497754116,8,0.07716693268642638,0.012826955620724027,8,0.09660201263798385,0.03509476034244051,8,14.154782151250402,5.993895737890484,8,46033.0,0.0,8
constraint_graph_mpnn_v1,row1_pure_hybrid,0,500,0.909502183110677,0.016628689154288005,8,0.9253216911764706,0.05047561631281899,8,0.8936826750448833,0.027106200296176663,8,0.9710695035279597,0.0061710305294130985,8,0.646571092769413,0.0296822719589064,8,0.07376505302342802,0.01213300211525538,8,0.09402930600042171,0.02821486062083355,8,25.927058656248846,9.761126996095356,8,46033.0,0.0,8
constraint_graph_mpnn_v1,row1_pure_hybrid,0,1000,0.952110587839265,0.007573853442436602,8,0.9875919117647058,0.004366672570461122,8,0.916629263913824,0.017387367034771384,8,0.9810504178107509,0.006898184491782053,8,0.7320313253379415,0.03565618614931894,8,0.05953563500585039,0.01232813425070262,8,0.07490874574429951,0.01578706675284285,8,77.29318592714117,14.988431245739168,8,46033.0,0.0,8
constraint_graph_mpnn_v1,row1_pure_hybrid,0,2000,0.9657443037807583,0.006685471945084678,8,0.9503676470588235,0.015597943702644433,8,0.9811209605026929,0.003064010527411155,8,0.9969938396841007,0.0002207092445907967,8,0.8920412660804966,0.0071995775011226976,8,0.018927379545298544,0.0014344411012894552,8,0.030964460137941706,0.004368183153309302,8,161.06451757800096,2.602498797263004,8,46033.0,0.0,8
constraint_graph_mpnn_v1,row1_pure_hybrid,0,3500,0.9710515068909071,0.004123177505878444,8,0.9508272058823529,0.008884049277330486,8,0.9912758078994613,0.00173599319426482,8,0.9987100691235875,0.00017245340202866417,8,0.9331154655012763,0.006865598611015309,8,0.010504586691254703,0.000537463192433673,8,0.013686554062282304,0.001360649076793152,8,279.01295672386186,4.914793661538695,8,46033.0,0.0,8
constraint_graph_mpnn_v1,row1_pure_hybrid,1000,1000,0.9225381425572922,0.00924372019164197,8,0.9354319852941176,0.02340594040118904,8,0.9096442998204668,0.010578524592485865,8,0.9776231155613053,0.0031092028032591265,8,0.6821957888055487,0.016696617735970486,8,0.06125174959550292,0.005615732563614275,8,0.08880314491202995,0.010819355893964499,8,54.172955203008314,10.848263450341609,8,46033.0,0.0,8
constraint_graph_mpnn_v1,row1_pure_hybrid,1000,2000,0.9640541668866829,0.004916729178955938,8,0.9894301470588236,0.008438166498455675,8,0.9386781867145422,0.005894634519371149,8,0.9907382808374696,0.002330778689364541,8,0.7840830030403975,0.01565412425008947,8,0.04041964280677618,0.0037763136394927633,8,0.0614330210363028,0.005497641770038377,8,194.30588178136531,17.87219375280786,8,46033.0,0.0,8
constraint_graph_mpnn_v1,row1_pure_hybrid,1000,3500,0.9780583350934628,0.002681832693662142,8,0.9779411764705882,0.005199314567548142,8,0.9781754937163375,0.0017414242476939876,8,0.9978780469492554,0.0003290505893084746,8,0.8976688792221531,0.006912968462158153,8,0.018310721831423234,0.0012042818536611402,8,0.03417363122485549,0.002185837934703917,8,394.68328735413525,8.58084109372035,8,46033.0,0.0,8
