status,architecture,checkpoint_path,train_pos_rate,n_train,row,base_size,seed_split,total_labels,replicate,balanced_accuracy,accuracy,macro_f1,mcc,recall_blocked,recall_assemblable,precision_blocked,brier,ece_10bin,roc_auc,seed,n_val,pos_weight,parameter_count,fit_wall_s
ok,constraint_graph_mpnn_v1,data/arch_screen/checkpoints/constraint_graph_mpnn_v1__baseline_T0250_rep1,0.888,213,baseline_random,0,,250,1.0,0.8753465255042772,0.89,0.7821553721752681,0.5987741707002529,0.8566176470588235,0.8940754039497307,0.4968017057569296,0.07759553373497147,0.09104581226150651,0.953575070625198,240967,37,0.1269841343164444,46033,35.79181237501325
ok,constraint_graph_mpnn_v1,data/arch_screen/checkpoints/constraint_graph_mpnn_v1__baseline_T0250_rep2,0.852,212,baseline_random,0,,250,2.0,0.8794998811912558,0.8672,0.7576103770794036,0.5716614418969587,0.8952205882352942,0.8637791741472173,0.44515539305301643,0.09094644686485695,0.12212853516304184,0.9517603495617277,675313,38,0.1712707132101059,46033,24.789582041965332
ok,constraint_graph_mpnn_v1,data/arch_screen/checkpoints/constraint_graph_mpnn_v1__baseline_T0250_rep3,0.92,213,baseline_random,0,,250,3.0,0.8686404319357905,0.8838,0.772780157958854,0.5826481642317807,0.8492647058823529,0.8880161579892281,0.48074921956295524,0.08190431745597312,0.1074907599233149,0.9463425883144999,857814,37,0.08673469722270966,46033,20.457486749975942
ok,constraint_graph_mpnn_v1,data/arch_screen/checkpoints/constraint_graph_mpnn_v1__baseline_T0250_rep4,0.9,212,baseline_random,0,,250,4.0,0.8856960872320203,0.9142,0.8166571234348865,0.6522501362267161,0.8492647058823529,0.9221274685816876,0.5710754017305315,0.06194679938859439,0.07219522756545095,0.9611668668814025,635355,38,0.10994764417409897,46033,24.52684104104992
ok,constraint_graph_mpnn_v1,data/arch_screen/checkpoints/constraint_graph_mpnn_v1__baseline_T0250_rep5,0.916,213,baseline_random,0,,250,5.0,0.8821994798817193,0.849,0.7398144956615876,0.5546623259841837,0.9246323529411765,0.8397666068222621,0.4133114215283484,0.10648270741719734,0.15711245803043694,0.9490607508712641,564831,37,0.0923076942563057,46033,25.80103820801014
ok,constraint_graph_mpnn_v1,data/arch_screen/checkpoints/constraint_graph_mpnn_v1__baseline_T0500_rep1,0.878,425,baseline_random,0,,500,1.0,0.8701304916041821,0.8994,0.7922297907122007,0.6094121238396416,0.8327205882352942,0.90754039497307,0.5236994219653179,0.06909806162343753,0.08244824528389662,0.9562066018058929,449949,75,0.13941018283367157,46033,30.137229833984748
ok,constraint_graph_mpnn_v1,data/arch_screen/checkpoints/constraint_graph_mpnn_v1__baseline_T0500_rep2,0.9,424,baseline_random,0,,500,2.0,0.9116524976238252,0.8828,0.7839563795395337,0.624245618874725,0.9485294117647058,0.8747755834829444,0.48044692737430167,0.08444654713910794,0.12682758813557027,0.9671477320730807,199518,76,0.10994764417409897,46033,38.126444082998205
ok,constraint_graph_mpnn_v1,data/arch_screen/checkpoints/constraint_graph_mpnn_v1__baseline_T0500_rep3,0.884,425,baseline_random,0,,500,3.0,0.9234987195057556,0.8996,0.8073439562801265,0.6603549452345129,0.9540441176470589,0.8929533213644524,0.5210843373493976,0.07191361228624883,0.10328551981476138,0.9744693209420214,240909,75,0.13031914830207825,46033,79.61822641699109
ok,constraint_graph_mpnn_v1,data/arch_screen/checkpoints/constraint_graph_mpnn_v1__baseline_T0500_rep4,0.91,425,baseline_random,0,,500,4.0,0.8766550718132855,0.9024,0.7980661356578459,0.6210076930833964,0.84375,0.9095601436265709,0.5324825986078886,0.06951349175968234,0.08972250550278577,0.9524018342750027,75426,75,0.09819121658802032,46033,48.75827308400767
ok,constraint_graph_mpnn_v1,data/arch_screen/checkpoints/constraint_graph_mpnn_v1__baseline_T0500_rep5,0.906,425,baseline_random,0,,500,5.0,0.8893775081846024,0.9222,0.829255345251398,0.6729008577728754,0.8474264705882353,0.9313285457809695,0.6010430247718384,0.05208899855302477,0.06219390506627318,0.9716360624141936,215496,75,0.10389610379934311,46033,72.93484704202274
ok,constraint_graph_mpnn_v1,data/arch_screen/checkpoints/constraint_graph_mpnn_v1__baseline_T1000_rep1,0.879,850,baseline_random,0,,1000,1.0,0.9312790421375013,0.9034,0.8141417717330028,0.6737604831242479,0.9669117647058824,0.8956463195691203,0.5307769929364279,0.06842977101345915,0.10696642454667664,0.9793611059773999,305602,150,0.13788487017154694,46033,85.51631291699596
ok,constraint_graph_mpnn_v1,data/arch_screen/checkpoints/constraint_graph_mpnn_v1__baseline_T1000_rep2,0.906,850,baseline_random,0,,1000,2.0,0.9272378947090506,0.9264,0.8451323932869605,0.713722100262397,0.9283088235294118,0.9261669658886894,0.605515587529976,0.05417451228113825,0.07722646022475368,0.978712608247967,982107,150,0.10389610379934311,46033,92.74469020799734
