action,asm_final_assemblable,asm_final_overlap_norm,asm_stage_success,asm_surrogate_crossed_tau,cycle,overlap_method,overlap_pct_reduction,overlap_stage_final_norm,overlap_stage_success,reintroduced_overlap,sample_id,start_assemblable,start_overlap_norm,start_relaxed_ok
terminal_success,,,,,3,hybrid_lite,,,,,t25h2_003862,True,0.0,True
overlap,,,,,1,hybrid_lite,100.0,0.0,True,,t25h2_003604,False,0.0008700633042287958,True
assemblability,True,0.0,True,True,2,hybrid_lite,,,,False,t25h2_003604,False,0.0,True
terminal_success,,,,,3,hybrid_lite,,,,,t25h2_003604,True,0.0,True
overlap,,,,,1,hybrid_lite,100.0,0.0,True,,t25h2_003576,False,0.0038822684264084332,True
assemblability,True,0.0,True,True,2,hybrid_lite,,,,False,t25h2_003576,False,0.0,True
terminal_success,,,,,3,hybrid_lite,,,,,t25h2_003576,True,0.0,True
overlap,,,,,1,hybrid_lite,100.0,0.0,True,,t25h2_004754,False,0.006090658650965418,True
assemblability,True,0.0,True,True,2,hybrid_lite,,,,False,t25h2_004754,False,0.0,True
terminal_success,,,,,3,hybrid_lite,,,,,t25h2_004754,True,0.0,True
overlap,,,,,1,hybrid_lite,100.0,0.0,True,,t25h2_001044,False,0.001217630121838477,True
terminal_success,,,,,2,hybrid_lite,,,,,t25h2_001044,True,0.0,True
overlap,,,,,1,hybrid_lite,100.0,0.0,True,,t25h2_000067,False,3.374496827429761e-05,True
assemblability,True,0.0,True,True,2,hybrid_lite,,,,False,t25h2_000067,False,0.0,True
terminal_success,,,,,3,hybrid_lite,,,,,t25h2_000067,True,0.0,True
