label,family,run_id,tau,subgroup,count,verified_ok,surrogate_success,mean_l2
Adaptive gradient / lock_main_bracket_user,adaptive_lock,task34_adaptive_gradient_tau0.75_lock_lock_main_bracket_user,0.75,nearest_splint_clearance,134,113,107,0.5506929357210307
Adaptive gradient / grad_top_3,adaptive_lock,task34_adaptive_gradient_tau0.75_lock_grad_top_3,0.75,nearest_inward_movement,66,37,30,0.35102227821305965
Adaptive gradient / grad_top_3,adaptive_lock,task34_adaptive_gradient_tau0.75_lock_grad_top_3,0.75,nearest_splint_clearance,134,98,92,0.5785952234685098
Adaptive gradient / grad_bottom_12,adaptive_lock,task34_adaptive_gradient_tau0.75_lock_grad_bottom_12,0.75,nearest_inward_movement,66,66,66,0.26659372584924723
Adaptive gradient / grad_bottom_12,adaptive_lock,task34_adaptive_gradient_tau0.75_lock_grad_bottom_12,0.75,nearest_splint_clearance,134,134,134,0.5209823363921765
Adaptive gradient / grad_bottom_11,adaptive_lock,task34_adaptive_gradient_tau0.75_lock_grad_bottom_11,0.75,nearest_inward_movement,66,66,66,0.2850595945992204
Adaptive gradient / grad_bottom_11,adaptive_lock,task34_adaptive_gradient_tau0.75_lock_grad_bottom_11,0.75,nearest_splint_clearance,134,133,133,0.625572248643739
Adaptive gradient / grad_bottom_10,adaptive_lock,task34_adaptive_gradient_tau0.75_lock_grad_bottom_10,0.75,nearest_inward_movement,66,64,63,0.2360931553659881
Adaptive gradient / grad_bottom_10,adaptive_lock,task34_adaptive_gradient_tau0.75_lock_grad_bottom_10,0.75,nearest_splint_clearance,134,123,123,0.4749176544608489
Adaptive penalty lambda=0.10 / lock_splint_user,adaptive_lock,task34_adaptive_penalty_lam0_10_tau0.75_lock_lock_splint_user,0.75,nearest_inward_movement,66,58,57,0.19903906496290283
Adaptive penalty lambda=0.10 / lock_splint_user,adaptive_lock,task34_adaptive_penalty_lam0_10_tau0.75_lock_lock_splint_user,0.75,nearest_splint_clearance,134,113,111,0.4079853427630414
Adaptive penalty lambda=0.10 / lock_pin_user,adaptive_lock,task34_adaptive_penalty_lam0_10_tau0.75_lock_lock_pin_user,0.75,nearest_inward_movement,66,49,46,0.2839341099763189
Adaptive penalty lambda=0.10 / lock_pin_user,adaptive_lock,task34_adaptive_penalty_lam0_10_tau0.75_lock_lock_pin_user,0.75,nearest_splint_clearance,134,107,104,0.3753635973490266
Adaptive penalty lambda=0.10 / lock_main_bracket_user,adaptive_lock,task34_adaptive_penalty_lam0_10_tau0.75_lock_lock_main_bracket_user,0.75,nearest_inward_movement,66,57,54,0.2164107034630125
Adaptive penalty lambda=0.10 / lock_main_bracket_user,adaptive_lock,task34_adaptive_penalty_lam0_10_tau0.75_lock_lock_main_bracket_user,0.75,nearest_splint_clearance,134,97,92,0.48450522661199685
Adaptive penalty lambda=0.10 / grad_top_3,adaptive_lock,task34_adaptive_penalty_lam0_10_tau0.75_lock_grad_top_3,0.75,nearest_inward_movement,66,34,27,0.3092345427403071
Adaptive penalty lambda=0.10 / grad_top_3,adaptive_lock,task34_adaptive_penalty_lam0_10_tau0.75_lock_grad_top_3,0.75,nearest_splint_clearance,134,90,84,0.5221608283229764
Adaptive penalty lambda=0.10 / grad_bottom_12,adaptive_lock,task34_adaptive_penalty_lam0_10_tau0.75_lock_grad_bottom_12,0.75,nearest_inward_movement,66,66,66,0.26659372584924723
Adaptive penalty lambda=0.10 / grad_bottom_12,adaptive_lock,task34_adaptive_penalty_lam0_10_tau0.75_lock_grad_bottom_12,0.75,nearest_splint_clearance,134,123,123,0.48714030182008083
Adaptive penalty lambda=0.10 / grad_bottom_11,adaptive_lock,task34_adaptive_penalty_lam0_10_tau0.75_lock_grad_bottom_11,0.75,nearest_inward_movement,66,66,66,0.2847342491999049
Adaptive penalty lambda=0.10 / grad_bottom_11,adaptive_lock,task34_adaptive_penalty_lam0_10_tau0.75_lock_grad_bottom_11,0.75,nearest_splint_clearance,134,126,126,0.5881851783678278
Adaptive penalty lambda=0.10 / grad_bottom_10,adaptive_lock,task34_adaptive_penalty_lam0_10_tau0.75_lock_grad_bottom_10,0.75,nearest_inward_movement,66,64,63,0.23606764414170445
Adaptive penalty lambda=0.10 / grad_bottom_10,adaptive_lock,task34_adaptive_penalty_lam0_10_tau0.75_lock_grad_bottom_10,0.75,nearest_splint_clearance,134,119,119,0.46175452574579173
