row,base_size,total_labels,mean_bac,std_bac,n_splits
row1_uncertainty_disagreement,0,250,0.7907091149408596,0.03542067013538751,8
row1_uncertainty_disagreement,0,500,0.8767883191202872,0.03241324835459605,8
row1_uncertainty_disagreement,0,750,0.9425848492449045,0.021793368653824967,8
row1_uncertainty_disagreement,0,1000,0.9765072209314606,0.010690092906497847,8
row1_uncertainty_disagreement,0,1250,0.9829874541266237,0.003438028328790381,8
row1_uncertainty_disagreement,0,1500,0.9878701634940332,0.0022706627813355055,8
row1_uncertainty_disagreement,0,1750,0.99226134293484,0.002067339194794406,8
row1_uncertainty_disagreement,0,2000,0.9933553734554863,0.002025782526698815,8
row1_uncertainty_disagreement,0,2250,0.9925824978218397,0.0022659982037780487,8
row1_uncertainty_disagreement,0,2500,0.9908009854525293,0.0038214796109638837,8
row1_uncertainty_disagreement,0,2750,0.9907535444608724,0.00379888656715392,8
row1_uncertainty_disagreement,0,3000,0.9889206720614637,0.0034974156028022944,8
row1_uncertainty_disagreement,0,3250,0.9892319262197697,0.003683253142383269,8
row1_uncertainty_disagreement,0,3500,0.9894002386075615,0.0041318207857245,8
row1_uncertainty_disagreement,250,250,0.7996645303094307,0.02709488907400954,8
row1_uncertainty_disagreement,250,500,0.8870304166886682,0.026352889255249923,8
row1_uncertainty_disagreement,250,750,0.9607460859119231,0.008879945041963273,8
row1_uncertainty_disagreement,250,1000,0.9700463766633224,0.005523271055069369,8
row1_uncertainty_disagreement,250,1250,0.9849005636814869,0.004747085540024901,8
row1_uncertainty_disagreement,250,1500,0.9886248877917415,0.00315540538896028,8
row1_uncertainty_disagreement,250,1750,0.9911136834671032,0.002032248575714684,8
row1_uncertainty_disagreement,250,2000,0.9925571272045622,0.0020018630567332383,8
row1_uncertainty_disagreement,250,2250,0.9912939592353998,0.0024424333020528466,8
row1_uncertainty_disagreement,250,2500,0.990610602690358,0.0026906454125735267,8
row1_uncertainty_disagreement,250,2750,0.9906613439249129,0.0026604590002980853,8
row1_uncertainty_disagreement,250,3000,0.9864050619125567,0.0040951057952325585,8
row1_uncertainty_disagreement,250,3250,0.9870015808163481,0.004648493061737584,8
row1_uncertainty_disagreement,250,3500,0.9867357049978879,0.004198283019356128,8
row1_uncertainty_disagreement,500,500,0.8695040642491287,0.011731661787710384,8
row1_uncertainty_disagreement,500,750,0.9286976333958179,0.018220764902209613,8
row1_uncertainty_disagreement,500,1000,0.9679742366538178,0.007686422158748628,8
row1_uncertainty_disagreement,500,1250,0.9810186529728588,0.0053219430718577185,8
row1_uncertainty_disagreement,500,1500,0.985067638478192,0.006218417616864965,8
row1_uncertainty_disagreement,500,1750,0.9876451281814341,0.005411188134142253,8
row1_uncertainty_disagreement,500,2000,0.9937769794856901,0.0026436422572167434,8
row1_uncertainty_disagreement,500,2250,0.9937976060038018,0.0014227715708139694,8
row1_uncertainty_disagreement,500,2500,0.993070108710001,0.003396376240918821,8
row1_uncertainty_disagreement,500,2750,0.9902512887448516,0.0028946360172429756,8
row1_uncertainty_disagreement,500,3000,0.9911930955618333,0.0011733646320847611,8
row1_uncertainty_disagreement,500,3250,0.9903721601409864,0.0035832445952310265,8
