base_size,total_labels,seed_split,bac_row1,bac_row2,delta_bac
0,250,1,0.7715736878234238,0.7715736878234238,0.0
0,500,1,0.8539543510402365,0.8841565239201605,0.030202172879923994
0,750,1,0.9204443447037702,0.9404784692153343,0.020034124511564055
0,1000,1,0.9545424543246384,0.9733307371422537,0.018788282817615354
0,1250,1,0.9822595443024607,0.9702681117330235,-0.011991432569437133
0,1500,1,0.9869673407962827,0.9884045965783081,0.0014372557820254706
0,1750,1,0.9897246937374591,0.9927328651388743,0.003008171401415183
0,2000,1,0.9956238779174147,0.994458892174464,-0.0011649857429506527
0,2250,1,0.9930480383356215,0.9868386313232653,-0.006209407012356172
0,2500,1,0.9924869970429824,0.9958053912767979,0.003318394233815525
0,2750,1,0.994998481888267,0.990402893652973,-0.004595588235294046
0,3000,1,0.9883402418417995,0.9938549477241525,0.005514705882353033
0,3250,1,0.9922196773682543,0.9873996726159044,-0.0048200047523498935
0,3500,1,0.9934968713697327,0.9852033609673672,-0.00829351040236559
0,250,2,0.7361142280071813,0.7361142280071813,0.0
0,500,2,0.8498438985109305,0.9226357059879606,0.07279180747703018
0,750,2,0.9426203268560567,0.9445064156721934,0.0018860888161367217
0,1000,2,0.9768256943711058,0.9755154979406484,-0.0013101964304573777
0,1250,2,0.9866092644418629,0.9857809034744958,-0.0008283609673671588
0,1500,2,0.990670213327701,0.9910068381032844,0.0003366247755833829
0,1750,2,0.9910282896821206,0.9939671559826804,0.002938866300559728
0,2000,2,0.9938070942021333,0.9899326090400253,-0.0038744851621079768
0,2250,2,0.9900662688773894,0.9916586360756152,0.0015923671982258636
0,2500,2,0.993518322948569,0.9906273101700285,-0.002891012778540536
0,2750,2,0.9940793642412082,0.9929143784982575,-0.0011649857429507637
0,3000,2,0.9936305312070969,0.9883187902629633,-0.005311740944133558
0,3250,2,0.9882065820044355,0.9898204007814975,0.001613818777062015
0,3500,2,0.9817727584750238,0.9841934866406168,0.0024207281655930224
0,250,3,0.8047592802830288,0.8047592802830288,0.0
0,500,3,0.8907553595944662,0.9034513940226001,0.01269603442813394
0,750,3,0.9468842406801141,0.9701295015313127,0.0232452608511986
0,1000,3,0.9814311833350935,0.9813189750765656,-0.00011220825852786831
0,1250,3,0.9781391910444609,0.9817463565318407,0.0036071654873798265
0,1500,3,0.9895959842644418,0.9873303675150491,-0.0022656167493927404
0,1750,3,0.995132141725631,0.9869508395817932,-0.008181302143837832
0,2000,3,0.9928236218185659,0.9948862736297391,0.002062651811173266
0,2250,3,0.9888105264547471,0.9880943737459077,-0.0007161527088394015
0,2500,3,0.9849789444503115,0.9907609700073925,0.005782025557080961
0,2750,3,0.9855614373217869,0.9824460080261908,-0.0031154292955961616
0,3000,3,0.9875333324532685,0.9864805549688457,-0.0010527774844227844
0,3250,3,0.9847759795120921,0.9924655454641462,0.007689565952054167
0,3500,3,0.988115825324744,0.9832743689935579,-0.004841456331186045
0,250,4,0.8451328017742106,0.8451328017742106,0.0
0,500,4,0.8922619204773471,0.8962535642623297,0.003991643784982624
0,750,4,0.9714066955327912,0.9737581185975288,0.002351423064737568
0,1000,4,0.9682269115006864,0.9621033108036752,-0.006123600697011233
0,1250,4,0.9806028223677263,0.9893930193262224,0.008790196958496033
0,1500,4,0.9883138398986165,0.989190054388003,0.0008762144893864621
0,1750,4,0.9927543167177104,0.9917229908121238,-0.001031325905586633
0,2000,4,0.9905151019115007,0.9954473149223784,0.004932213010877651
0,2250,4,0.9928236218185659,0.9913220113000317,-0.0015016105185341466
0,2500,4,0.9847545279332559,0.9889012831344386,0.004146755201182684
0,2750,4,0.9871752560988489,0.9922625805259268,0.005087324427077822
0,3000,4,0.9858980620973703,0.9854706806420952,-0.00042738145527509985
0,3250,4,0.9929143784982575,0.9927807186608935,-0.00013365983736401965
0,3500,4,0.9872874643573767,0.9829162926391383,-0.00437117171823842
0,250,5,0.8036223466047101,0.8036223466047101,0.0
0,500,5,0.8823232389903897,0.897134729116063,0.014811490125673288
0,750,5,0.9524203981413033,0.948498059457176,-0.00392233868412728
0,1000,5,0.9825268639771887,0.9669497174992079,-0.015577146477980808
0,1250,5,0.9888748811912558,0.9830928556341747,-0.005782025557081072
0,1500,5,0.9889441862921111,0.9937641910444609,0.004820004752349782
0,1750,5,0.9910068381032844,0.9881372769035801,-0.0028695611997042736
0,2000,5,0.9966123006653289,0.9883187902629633,-0.00829351040236559
0,2250,5,0.994191572499736,0.9845301114162002,-0.009661461083535827
0,2500,5,0.9943252323371,0.9915464278170874,-0.0027788045200126676
0,2750,5,0.9905151019115007,0.9927114135600381,0.002196311648537397
0,3000,5,0.9828255359594467,0.9872874643573767,0.004461928397930026
0,3250,5,0.9905151019115007,0.9910761432041398,0.0005610412926391195
0,3500,5,0.9887676232970746,0.9924655454641462,0.0036979221670716544
0,250,6,0.7660606320625198,0.7660606320625198,0.0
