row,base_size,total_labels,n_seeds,bac_mean,bac_std,bac_min,bac_max,acc_mean,f1_mean,mcc_mean,auc_mean
row1_uncertainty_disagreement,0,250,8,0.8075248838314499,0.040251259586868496,0.7438499973598056,0.8749075931988595,0.874825,0.7434623021515447,0.5113662329779167,0.9089038593865508
row1_uncertainty_disagreement,0,500,8,0.9001350624405956,0.027443998533092696,0.85450879184708,0.938869600802619,0.9367000000000001,0.8562584072910584,0.7219557874367767,0.9756058936562731
row1_uncertainty_disagreement,0,750,8,0.9483534675652128,0.016606825422793653,0.922196773682543,0.9678853363607562,0.96925,0.9249813769690075,0.852209192440014,0.9933541358643996
row1_uncertainty_disagreement,0,1000,8,0.9757877679797233,0.0052147878637072275,0.9692532870419264,0.9830879052698278,0.980575,0.9524521452330958,0.9068854998428502,0.9977940196710978
row1_uncertainty_disagreement,0,1250,8,0.9819421021887211,0.004790718585510837,0.9730254646742,0.9871488541556659,0.98705,0.967664301615675,0.9361210807868139,0.9989816688008237
row1_uncertainty_disagreement,0,1500,8,0.9870378834882247,0.004152951472312509,0.9815004884359488,0.9922147270039074,0.9902,0.9753736805661536,0.9512834311658115,0.9993554728753037
row1_uncertainty_disagreement,0,1750,8,0.988627569239096,0.002048668797293069,0.9853799239624036,0.9921718238462351,0.9917750000000001,0.9792466271403742,0.958870521344192,0.9995558079324638
row1_uncertainty_disagreement,0,2000,8,0.9901104096261484,0.0029431996215728063,0.9869937427394656,0.9945711004329918,0.9928,0.9817855648609564,0.9638839208271917,0.9996520822057504
row1_uncertainty_disagreement,0,2250,8,0.9944875630346394,0.001806074954136119,0.99174444239096,0.9965908490864928,0.9939499999999999,0.984752945843195,0.969871994302334,0.9998152895303094
row1_uncertainty_disagreement,0,2500,8,0.9953879105502165,0.0014930734894206305,0.9934968713697327,0.9973070017953322,0.995375,0.988264596675552,0.9767289392500924,0.999889957525874
row1_uncertainty_disagreement,0,2750,8,0.9947239429321999,0.0020043188066904017,0.9912312546203401,0.9967030573450206,0.99545,0.9884337214492758,0.9770160606091012,0.9998811912556763
row1_uncertainty_disagreement,0,3000,8,0.994889573872637,0.0016650336348351508,0.9929143784982575,0.9971947935368043,0.995925,0.9896173154896409,0.9793459956602,0.9998943406609726
row1_uncertainty_disagreement,0,3250,8,0.9943992815371211,0.001574649320872683,0.9918830525926708,0.9961420160523815,0.99595,0.9896619659269995,0.979411636357807,0.9999005801827014
row1_uncertainty_disagreement,0,3500,8,0.9925783725182173,0.0030162008328879467,0.9870415962614849,0.9957839396979618,0.9963,0.9905074773540238,0.9810578503500231,0.9998855228244798
row1_uncertainty_disagreement,250,250,8,0.7823306232838737,0.035033243191629766,0.7477327331291583,0.8495996805364875,0.8452,0.706911521490768,0.4507584173753,0.8774062122534718
row1_uncertainty_disagreement,250,500,8,0.8759446945295174,0.021853541811079423,0.8350208575351146,0.9036065054388003,0.92055,0.826565371541091,0.6677356216685687,0.9631684126326698
row1_uncertainty_disagreement,250,750,8,0.9340702225683811,0.023423483989805264,0.8926298975604605,0.9594367145421903,0.957275,0.8995800416939237,0.8052999120353348,0.9895129625290421
row1_uncertainty_disagreement,250,1000,8,0.9724767992924279,0.004012013295027652,0.9655339132960186,0.9774395395501109,0.9775499999999999,0.9455969781978086,0.8939370151624826,0.9970454059793801
row1_uncertainty_disagreement,250,1250,8,0.9833094340743478,0.003921656148434755,0.9771936714542191,0.9881372769035801,0.98715,0.968110574745693,0.9372586234861229,0.9988480089634597
row1_uncertainty_disagreement,250,1500,8,0.9845971476000633,0.005132762642068794,0.9744627204562256,0.9919903104868518,0.989625,0.9739543558678487,0.9485493390005775,0.9993242752666596
row1_uncertainty_disagreement,250,1750,8,0.987309122201394,0.006103274026667489,0.9745963802935896,0.993518322948569,0.989425,0.973556535918888,0.947862988380278,0.9993896613290738
