base_size,seed_split,total_labels,delta_balanced_accuracy,delta_accuracy,delta_macro_f1,delta_mcc,delta_recall_blocked,delta_recall_assemblable,delta_roc_auc,delta_brier
0,1,250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,500,-0.013709208997782163,-0.053200000000000025,-0.07888146211524849,-0.12193169771660262,0.03676470588235303,-0.06418312387791736,-0.02024616511775268,0.03801183543136011
0,1,750,-0.019857561516527733,0.0020000000000000018,0.0020729813179065637,0.002014667125475933,-0.047794117647058765,0.00807899461400352,-0.0007739069595521508,-0.0009320199904869417
0,1,1000,0.004867858274368975,0.005800000000000027,0.013668415243078269,0.026362460284815037,0.003676470588235281,0.006059245960502668,0.0008927157038759459,-0.0035695732968459744
0,1,1250,-0.006503128630267252,-0.0043999999999999595,-0.010867295455337711,-0.021463757858936727,-0.009191176470588203,-0.0038150807899461903,-0.0008993161896716506,0.0042615914373580034
0,1,1500,-0.00916972489175194,-0.0034000000000000696,-0.008713767877222334,-0.017437796870101385,-0.016544117647058876,-0.0017953321364452268,-0.00045337086809593696,0.0022367652255099735
0,1,1750,-0.005648365719717052,0.0,-0.00022764027777777418,-0.0008070309886890614,-0.012867647058823595,0.0015709156193896012,-0.00023596736719821987,0.0005225432642281969
0,1,2000,0.0038101304255994117,-0.00039999999999995595,-0.0008974235639783723,-0.0017092853321837298,0.009191176470588314,-0.0015709156193896012,3.176483789202322e-05,-0.0004883094013618562
0,1,2250,-0.0042375118808744006,-0.0018000000000000238,-0.004586363698920626,-0.009160641999133357,-0.007352941176470562,-0.001122082585278239,-6.806750976884324e-05,0.00034106947904535183
0,1,2500,0.0004488330341112512,0.0008000000000000229,0.0020167619269485515,0.00399278923255364,0.0,0.0008976660682226134,-9.075667969149492e-06,0.0001299107829091919
0,1,2750,-0.005156629527933276,-0.0020000000000000018,-0.005123589168486542,-0.010247455465495103,-0.009191176470588203,-0.001122082585278239,-6.06419632485089e-05,0.0006518683301821766
0,1,3000,0.003430602492343393,0.0018000000000000238,0.004597664518724454,0.0091753495803919,0.005514705882352922,0.0013464991023339756,1.1138319780390482e-05,-2.026424970801282e-05
0,1,3250,0.003093977716759899,0.0012000000000000899,0.003084028678999484,0.006168099360508994,0.005514705882352922,0.0006732495511669878,2.1864109198577175e-05,-0.0003883378201547001
0,1,3500,0.0013894022600062783,-0.00039999999999995595,-0.0009948498197557276,-0.0019772011611223217,0.003676470588235281,-0.0008976660682226134,1.402603231603905e-05,-0.00011535179958699609
0,2,250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,500,0.0022920186925757813,0.008399999999999963,0.015194124259995001,0.02899632888264514,-0.005514705882352922,0.010098743267504484,0.007727518745379802,-0.006346006005520224
0,2,750,0.02970548632379344,0.009800000000000031,0.025029448653412723,0.05049552700462656,0.05514705882352944,0.0042639138240574415,0.0057527359013624935,-0.008057485355636582
0,2,1000,0.009709314605554908,0.005799999999999916,0.013746767908295543,0.026826360095645763,0.014705882352941124,0.004712746858168804,0.0008539378498255701,-0.003144012399828892
0,2,1250,-0.009549252825007959,-0.0011999999999999789,-0.0034008949492360108,-0.00683370798330285,-0.020220588235294157,0.001122082585278239,-0.00010849548526759012,0.00023845171304023687
0,2,1500,0.0029603178793958795,0.0023999999999999577,0.00589481105174583,0.011550955479610825,0.003676470588235281,0.002244165170556589,0.00035147586862394053,-0.0019305754182008857
0,2,1750,0.0008498125462034212,-0.0028000000000000247,-0.006808699245630212,-0.013228068302052032,0.005514705882353033,-0.0038150807899461903,-4.12530362203789e-07,0.0010809496769641448
0,2,2000,0.006230858591192323,-0.00039999999999995595,-0.0008001380317022022,-0.00131393722993689,0.014705882352941235,-0.002244165170556478,-2.062651811163274e-05,0.0002627022203586186
0,2,2250,0.0032969426549793734,0.0030000000000000027,0.007514657808805558,0.014839325125650893,0.003676470588235281,0.002917414721723466,7.673064737567792e-05,-0.001042854236880198
0,2,2500,0.00011220825852786831,0.00019999999999997797,0.0005021721920202005,0.000992710537832786,0.0,0.00022441651705573662,-9.075667969160595e-05,0.00030750786021963407
0,2,2750,0.004552685077621632,0.0038000000000000256,0.009535651594180461,0.018859384729560058,0.005514705882352922,0.0035906642728905647,9.364439222736554e-05,-0.0018208645669505062
0,2,3000,0.0005824928714752708,-0.00039999999999995595,-0.0009857743107818395,-0.0019151087245439236,0.0018382352941176405,-0.0006732495511669878,4.744099165698845e-05,-0.00022941145399531931
0,2,3250,0.0005610412926391195,0.0010000000000000009,0.0025269287134049856,0.00501540660059685,0.0,0.001122082585278239,3.1764837892134246e-05,-0.00023599270920760364
0,2,3500,-0.006567483366775817,-0.00019999999999997797,-0.0006171552291985849,-0.0012727457520993468,-0.014705882352941235,0.0015709156193894902,-6.76549794064174e-05,0.0005296688134763619
0,3,250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3,500,0.022849231703453432,0.013400000000000079,0.02404238705044559,0.045513661580580345,0.03492647058823528,0.010771992818671472,0.009133834750237657,-0.009287627083932853
0,3,750,0.029203849403316107,-0.0025999999999999357,-9.195801453998342e-05,0.005937034196472513,0.06985294117647056,-0.01144524236983846,0.002787880187981706,0.0020105482424302226
0,3,1000,-0.008090545464146115,0.0014000000000000679,0.0024094984224575233,0.0032811955369161927,-0.020220588235294046,0.004039497307001816,-0.0003758151599955184,-0.0017144344995213435
0,3,1250,0.0023563734290843463,0.0041999999999999815,0.009891601469622646,0.018902615739896822,0.0,0.004712746858168693,7.219281339110317e-05,-0.002063048289719151
0,3,1500,0.008940358010349536,-0.0041999999999999815,-0.009150725057448517,-0.01608258298930032,0.02573529411764708,-0.007854578096948006,5.734172035054552e-05,0.0030068309026169554
0,3,1750,6.930510085534358e-05,0.0030000000000000027,0.007121220944967477,0.013538175870059566,-0.003676470588235281,0.0038150807899460792,0.00023761748864703502,-0.0016333046633850547
0,3,2000,0.005739122399408658,0.0016000000000000458,0.0041042735656589,0.008311501593360582,0.011029411764705954,0.0004488330341112512,0.00011179572816566452,-0.0017276633115815261
0,3,2250,0.0017738805576089645,0.0045999999999999375,0.011154536043708085,0.021526013992307913,-0.0018382352941176405,0.0053859964093356805,0.00029949704298248836,-0.003957617863084816
0,3,2500,-0.0035642623297074127,-0.0006000000000000449,-0.0015723716552799027,-0.00325640410348238,-0.007352941176470562,0.00022441651705573662,-1.196338050479806e-05,-0.000801602605128154
0,3,2750,0.0009191176470587648,0.00019999999999997797,0.0005167073331053817,0.001053968013215556,0.0018382352941176405,0.0,-2.145157883604032e-05,0.00015549519457943662
0,3,3000,-0.0016567219347344286,0.0028000000000000247,0.006978856547877221,0.013649388101672155,-0.007352941176470562,0.004039497307001816,6.352967578415747e-05,-0.0012176299411487258
